Field=LibRef~String~LibRef~100|Field=Category~String~Category~100|Field=Description~String~Description~196|Field=Quantity~Integer~Quantity~59|Field=Comment~String~Comment~100|Field=Footprint~String~Footprint~100|Field=Designator~String~Designator~100|Field=Manufacturer 1~String~Manufacturer 1~108|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer 2~String~Manufacturer 2~108|Field=Manufacturer Part Number 2~String~Manufacturer Part Number 2~100|Field=Manufacturer 3~String~Manufacturer 3~100|Field=Manufacturer Part Number 3~String~Manufacturer Part Number 3~100|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DB30.PRJPCB|ReportField=ProjectFullPath~C:\Documents and Settings\sean.connor\Desktop\TrialReleases\DB30_W09_Release\Source\DB30.PRJPCB|ReportField=Title~Bill of Materials For Variant [Production] of Project [DB30.PRJPCB] (No PCB Document Selected)|ReportField=TotalQuantity~195|ReportField=ReportTime~1:21:18 PM|ReportField=ReportDate~28/11/2008|ReportField=ReportDateTime~28/11/2008 1:21:18 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Production|ReportField=ProjectAddress1~L3, 12A Rodborough Road|ReportField=ProjectAddress2~Frenchs Forest|ReportField=ProjectAddress3~NSW 2086|ReportField=ProjectAddress4~Australia|ReportField=ProjectAssyNum~D-820-0004|ReportField=ProjectOrganization~Altium Limited|ReportField=ProjectRevision~07|ReportField=ProjectTitle~DB30 - Daughter Board Spartan3|ReportField=ProjectTotalSheets~22|ReportField=Address1~Level 3, 12a Rodborough Rd|ReportField=Address2~Frenchs Forest 2086|ReportField=Address3~NSW|ReportField=Address4~AUSTRALIA|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~28/11/2008|ReportField=CurrentTime~1:21:14 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Documents and Settings\sean.connor\Desktop\TrialReleases\DB30_W09_Release\Source\DB30_Top.SchDoc|ReportField=DocumentName~DB30_Top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~28/08/2008|ReportField=Organization~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTotal~23|ReportField=Time~|ReportField=Title~DB30 Top Level|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.97|XCorrection=1.00|YCorrection=1.00|PrintKind=0|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=A4 (210 x 297 mm)|PrintScaleMode=1|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~DB30.PRJPCB|ReportField=DataSourceFullPath~C:\Documents and Settings\sean.connor\Desktop\TrialReleases\DB30_W09_Release\Source\DB30.PRJPCB
D-101-0087|Capacitor|Capacitor, Ceramic, 10uF 10% 10V 0805 (2012) X5R|17|10uF 10V|CAPC2012-STAR|C4, C5, C6, C24, C25, C42, C43, C44, C45, C46, C47, C48, C49, C115, C116, C120, C122|PHYCOMP|222224013676|MURATA|GRM21BR61A106KE19L||
D-101-0088|Capacitor|Capacitor, Tantalum, 220uF 10% 10V MCCT-D (7343-31)|5|220uF 10V|CAPC7343-STAR|C3, C23, C106, C107, C119|AVX|TAJD227K010R||||
D-101-0095|Capacitor|Capacitor, Ceramic, 2.2uF 10% 10V 0603 (1608) X5R|3|2.2uF 10V|CAPC1608-STAR|C118, C125, C126|MURATA|GRM188R61A225KE34D||||
D-101-0105|Capacitor|Capacitor, Ceramic, 0.033uF 10% 10V 0402 (1005) X7R|1|0.033uF 10V|CAPC1005-STAR|C127|AVX|0402ZC333KAT2A||||
D-102-0004|Inductor|Inductor, 2.2uH, 15A, 4R2, SMD|1|2u2, 15A, 4R2, SMD|IND-EPCOS-SMD-B82559|L1|EPCOS|B82559A0222A013||||
D-153-0003|LED|LED, Red 0805 (2013) HSMH-C170|1|RED|LED2012-STAR|LED2|AVAGO TECHNOLOGIES|HSMH-C170||||
D-153-0004|LED|LED, Green 0805 (2012) KP-2012SGD|1|GREEN|LED2012-STAR|LED1|KINGBRIGHT|KP-2012SGD||||
D-204-0002|IC-Power|MAX1831EEE, 3A, 1MHz, Low-Voltage, Step-Down Regulators with Synchronous Rectification and Internal Switches|1|MAX1831EEE|SOP63P602-16|U5|MAXIM|MAX1831EEE|MAXIM|MAX1831EEE+||
D-204-0016|IC-Power|MAX8860EUA18+, 1.8V Linear Regulator with adjustable Output, Low-noise, Low-dropout, 300mA, uMAX|1|MAX8860EUA18+|SOP65P490-8|U6|Maxim|MAX8860EUA18+||||
D-205-0001|IC-Logic|SN74LVC1G04DBV, Single Inverter Gate, 1.65-V to 5.5-V|1|SN74LVC1G04DBV|SOT95P280-5|U2|TI|SN74LVC1G04DBV||||
D-241-0001|IC-FPGA|FPGA, Xilinx Spartan3-1500 FG676 Speed=4|1|XC3S1500-4FG676C|BGA100P26X26-676|U4|Xilinx|XC3S1500-4FGG676C|Xilinx|XC3S1500-4FG676C||
D-260-0000|IC-SRAM|K6R4016V1D-TC10T, 256K x 16-Bit SRAM, TSOP44|4|SRAM-256Kx16|TSOP80P1176-44|U9, U10, U11, U12|SAMSUNG|K6R4016V1D-UC10T|SAMSUNG|K6R4016V1D-TC10T|SAMSUNG|K6R4016V1D-UI10T
D-261-0000|IC-SDRAM|MT48LC16M16A2TG, 256 Mbit High-Speed CMOS SDRAM, 16Mb x 16Bit x 4 Banks, TSOP54|2|SDRAM-16Mx16|TSOP80P1176-54|U7, U8|MICRON|MT48LC16M16A2P-75|MICRON|MT48LC16M16A2TG-75||
D-262-0001|IC-Flash|S29GL256N11FFIV10, 256 Megabit (16M x 16) 3.0V Page Mode Flash Memory|1|S29GL256N11FFIV10|BGA100P8X8-64|U3|AMD|S29GL256N11FFIV10||||
D-263-0002|IC-PROM|Dual Addressable Switch Plus 1KB Memory|1|DS2406|TSOC6|U1|MAXIM|DS2406P+||||
D-300-0025|Connector|Connector, Molex Docking Station 100 Pin Male 54075|3|MOLEX - 54075-1009|54075|HDR_B1, HDR_L1, HDR_T1|Molex|54075-1009|Molex|54075-1079||
D-810-0004|Blank PCB|DB30 Blank PCB - Daughter Board Xilinx Spartan3 XC3S1500-4FG676C|1|DB30 Blank PCB||PCB1|PCB Bare-Board Manufacturer|NBP30||||
